id,ProductName,Brand,Category,Level1,Level2,Level3,OnlinePriceGHS,InStorePriceGHS,imageFile,ImagePath,AltText,CategorySlug,LevelSlugs,ShopSearchText
DG0017,Golden Creative Arts Textbook for KG 1,Golden,Textbooks,Pre-School,,,65,60,golden-creative-arts-texbook-kg-1.webp,/products/golden-creative-arts-texbook-kg-1.webp,Golden Creative Arts Textbook for KG 1 - Textbooks | DeeGlobalGH,textbooks,pre-school,golden creative arts textbook for kg 1 golden textbooks pre-school
DG0018,Golden Creative Arts Textbook for KG 2,Golden,Textbooks,Pre-School,,,65,60,golden-creative-arts-texbook-kg-2.webp,/products/golden-creative-arts-texbook-kg-2.webp,Golden Creative Arts Textbook for KG 2 - Textbooks | DeeGlobalGH,textbooks,pre-school,golden creative arts textbook for kg 2 golden textbooks pre-school
DG0019,Golden English Textbook for Basic 1,Golden,Textbooks,Basic 1,,,75,70,golden-english-texbook-basic-1.webp,/products/golden-english-texbook-basic-1.webp,Golden English Textbook for Basic 1 - Basic 1 | DeeGlobalGH,textbooks,basic-1,golden english textbook for basic 1 golden textbooks basic 1
DG0020,Golden English Textbook for Basic 2,Golden,Textbooks,Basic 2,,,75,70,golden-english-texbook-basic-2.webp,/products/golden-english-texbook-basic-2.webp,Golden English Textbook for Basic 2 - Basic 2 | DeeGlobalGH,textbooks,basic-2,golden english textbook for basic 2 golden textbooks basic 2
DG0021,Golden English Textbook for Basic 3,Golden,Textbooks,Basic 3,,,75,70,golden-english-texbook-basic-3.webp,/products/golden-english-texbook-basic-3.webp,Golden English Textbook for Basic 3 - Basic 3 | DeeGlobalGH,textbooks,basic-3,golden english textbook for basic 3 golden textbooks basic 3
DG0022,Golden English Textbook for Basic 4,Golden,Textbooks,Basic 4,,,75,70,golden-english-texbook-basic-4.webp,/products/golden-english-texbook-basic-4.webp,Golden English Textbook for Basic 4 - Basic 4 | DeeGlobalGH,textbooks,basic-4,golden english textbook for basic 4 golden textbooks basic 4
DG0023,Golden English Textbook for Basic 5,Golden,Textbooks,Basic 5,,,75,70,golden-english-texbook-basic-5.webp,/products/golden-english-texbook-basic-5.webp,Golden English Textbook for Basic 5 - Basic 5 | DeeGlobalGH,textbooks,basic-5,golden english textbook for basic 5 golden textbooks basic 5
DG0024,Golden English Textbook for Basic 6,Golden,Textbooks,Basic 6,,,75,70,golden-english-texbook-basic-6.webp,/products/golden-english-texbook-basic-6.webp,Golden English Textbook for Basic 6 - Basic 6 | DeeGlobalGH,textbooks,basic-6,golden english textbook for basic 6 golden textbooks basic 6
DG0025,Golden English Textbook for JHS,Golden,JHS Combined Edition Textbooks,JHS 1,JHS 2,JHS 3,160,,golden-english-texbook-jhs-1-3.webp,/products/golden-english-texbook-jhs-1-3.webp,Golden English Textbook for JHS - JHS 1 | DeeGlobalGH,jhs-combined-edition-textbooks,jhs-1|jhs-2|jhs-3,golden english textbook for jhs golden jhs combined edition textbooks jhs 1 jhs 2 jhs 3
DG0026,Golden English Textbook for KG 1,Golden,Textbooks,Pre-School,,,65,60,golden-english-texbook-kg-1.webp,/products/golden-english-texbook-kg-1.webp,Golden English Textbook for KG 1 - Pre-School | DeeGlobalGH,textbooks,pre-school,golden english textbook for kg 1 golden textbooks pre-school
DG0027,Golden English Textbook for KG 2,Golden,Textbooks,Pre-School,,,65,60,golden-english-texbook-kg-2.jpg,\products\golden-english-texbook-kg-2.jpg,Golden English Textbook for KG 2 - Pre-School | DeeGlobalGH,textbooks,pre-school,golden english textbook for kg 2 golden textbooks pre-school
DG0028,Golden English Textbook for Nursery 1,Golden,Textbooks,Pre-School,,,50,45,golden-english-texbook-nursery-1.webp,\products\golden-english-texbook-nursery-1.webp,Golden English Textbook for Nursery 1 - Pre-School | DeeGlobalGH,textbooks,pre-school,golden english textbook for nursery 1 golden textbooks pre-school
DG0029,Golden English Textbook for Nursery 2,Golden,Textbooks,Pre-School,,,50,45,golden-english-texbook-nursery-2.webp,\products\golden-english-texbook-nursery-2.webp,Golden English Textbook for Nursery 2 - Pre-School | DeeGlobalGH,textbooks,pre-school,golden english textbook for nursery 2 golden textbooks pre-school
DG0030,Golden Hiatory  Textbook for Basic 1,Golden,Textbooks,Basic 1,,,65,60,golden-history-texbook-basic-1.webp,\products\golden-history-texbook-basic-1.webp,Golden Hiatory  Textbook for Basic 1 - Basic 1 | DeeGlobalGH,textbooks,basic-1,golden hiatory textbook for basic 1 golden textbooks basic 1
DG0031,Golden Hiatory  Textbook for Basic 2,Golden,Textbooks,Basic 2,,,65,60,golden-history-texbook-basic-2.webp,\products\golden-history-texbook-basic-2.webp,Golden Hiatory  Textbook for Basic 2 - Basic 2 | DeeGlobalGH,textbooks,basic-2,golden hiatory textbook for basic 2 golden textbooks basic 2
DG0032,Golden Hiatory  Textbook for Basic 3,Golden,Textbooks,Basic 3,,,65,60,golden-history-texbook-basic-3.webp,\products\golden-history-texbook-basic-3.webp,Golden Hiatory  Textbook for Basic 3 - Basic 3 | DeeGlobalGH,textbooks,basic-3,golden hiatory textbook for basic 3 golden textbooks basic 3
DG0033,Golden Hiatory  Textbook for Basic 4,Golden,Textbooks,Basic 4,,,65,60,golden-history-texbook-basic-4.webp,\products\golden-history-texbook-basic-4.webp,Golden Hiatory  Textbook for Basic 4 - Basic 4 | DeeGlobalGH,textbooks,basic-4,golden hiatory textbook for basic 4 golden textbooks basic 4
DG0034,Golden Hiatory  Textbook for Basic 5,Golden,Textbooks,Basic 5,,,65,60,golden-history-texbook-basic-5.webp,\products\golden-history-texbook-basic-5.webp,Golden Hiatory  Textbook for Basic 5 - Basic 5 | DeeGlobalGH,textbooks,basic-5,golden hiatory textbook for basic 5 golden textbooks basic 5
DG0035,Golden Hiatory  Textbook for Basic 6,Golden,Textbooks,Basic 6,,,65,60,golden-history-texbook-basic-6.webp,\products\golden-history-texbook-basic-6.webp,Golden Hiatory  Textbook for Basic 6 - Basic 6 | DeeGlobalGH,textbooks,basic-6,golden hiatory textbook for basic 6 golden textbooks basic 6
DG0036,Golden Mathematics  Textbook for Basic 1,Golden,Textbooks,Basic 1,,,70,65,golden-mathematics-texbook-basic-1.webp,\products\golden-mathematics-texbook-basic-1.webp,Golden Mathematics  Textbook for Basic 1 - Basic 1 | DeeGlobalGH,textbooks,basic-1,golden mathematics textbook for basic 1 golden textbooks basic 1
DG0037,Golden Mathematics  Textbook for Basic 2,Golden,Textbooks,Basic 2,,,70,65,golden-mathematics-texbook-basic-2.webp,\products\golden-mathematics-texbook-basic-2.webp,Golden Mathematics  Textbook for Basic 2 - Basic 2 | DeeGlobalGH,textbooks,basic-2,golden mathematics textbook for basic 2 golden textbooks basic 2
DG0038,Golden Mathematics  Textbook for Basic 3,Golden,Textbooks,Basic 3,,,70,65,golden-mathematics-texbook-basic-3.webp,\products\golden-mathematics-texbook-basic-3.webp,Golden Mathematics  Textbook for Basic 3 - Basic 3 | DeeGlobalGH,textbooks,basic-3,golden mathematics textbook for basic 3 golden textbooks basic 3
